,equity
2021-01-03,1139.7975605787697
2021-01-10,1317.6737529801096
2021-01-17,1237.4939515827434
2021-01-24,1114.233321601484
2021-01-31,1143.0072947247659
2021-02-07,1339.974721946487
2021-02-14,1677.8412923710039
2021-02-21,1982.8499666611274
2021-02-28,1558.9526428933516
2021-03-07,1760.52691763894
2021-03-14,2036.72224404062
2021-03-21,1980.8808830103874
2021-03-28,1926.51849342244
2021-04-04,2010.2548032133634
2021-04-11,2072.439991539358
2021-04-18,1939.3802259230977
2021-04-25,1694.730303483769
2021-05-02,1954.1699403459493
2021-05-09,2011.5959629775841
2021-05-16,1603.7100075306898
2021-05-23,1196.9669564515025
2021-05-30,1231.0233651745764
2021-06-06,1236.3783332365076
2021-06-13,1347.7419124635605
2021-06-20,1229.6034558800334
2021-06-27,1198.5243320314332
2021-07-04,1218.7702145705343
2021-07-11,1183.2804262385196
2021-07-18,1097.6081904938346
2021-07-25,1222.0345207594733
2021-08-01,1376.232318199146
2021-08-08,1512.625468539716
2021-08-15,1622.4413431817895
2021-08-22,1700.6866001961016
2021-08-29,1684.4051348019211
2021-09-05,1787.644732876711
2021-09-12,1589.6780846408537
2021-09-19,1631.695449172716
2021-09-26,1490.7458786390996
2021-10-03,1664.7930478248459
2021-10-10,1887.8818324116166
2021-10-17,2125.1434601003793
2021-10-24,2101.791115825661
2021-10-31,2117.2502012562545
2021-11-07,2185.4234624208516
2021-11-14,2262.9817334009026
2021-11-21,2024.7616410338724
2021-11-28,1978.2324119642774
2021-12-05,1706.1130645421415
2021-12-12,1728.8250507939738
2021-12-19,1612.3354988497435
2021-12-26,1753.74824096302
2022-01-02,1633.2300288359745
2022-01-09,1445.97331672398
2022-01-16,1487.663594390862
2022-01-23,1251.8602145837733
2022-01-30,1308.4082490308474
2022-02-06,1463.8042136665235
2022-02-13,1452.5026198872117
2022-02-20,1325.8550693167301
2022-02-27,1302.0982702174172
2022-03-06,1327.0266412766161
2022-03-13,1304.8016586991466
2022-03-20,1425.1630625509008
2022-03-27,1617.3965377436728
2022-04-03,1602.8758842160894
2022-04-10,1456.1358054550299
2022-04-17,1370.4532079300393
2022-04-24,1362.5786002904642
2022-05-01,1328.668638062376
2022-05-08,1175.6614091798162
2022-05-15,1082.076917993779
