,equity
2021-01-03,1327.0996134036247
2021-01-10,1701.4706322438324
2021-01-17,1671.8975329550817
2021-01-24,1889.0291968155145
2021-01-31,1780.558324378427
2021-02-07,2186.26597595121
2021-02-14,2442.3852945620415
2021-02-21,2622.957553567803
2021-02-28,1925.2087636976696
2021-03-07,2341.6468379940316
2021-03-14,2507.066275024777
2021-03-21,2418.726815131041
2021-03-28,2288.53735005116
2021-04-04,2815.8067184709594
2021-04-11,2918.4579305434254
2021-04-18,3032.7891602707605
2021-04-25,3147.8936315850033
2021-05-02,4001.267465051719
2021-05-09,5323.090043765745
2021-05-16,4859.348576249258
2021-05-23,2843.8875971533967
2021-05-30,3236.735020228136
2021-06-06,3678.8935515205853
2021-06-13,3404.0672127633375
2021-06-20,3043.4110578593345
2021-06-27,2689.090057711225
2021-07-04,3150.8780727976296
2021-07-11,2903.657815257174
2021-07-18,2566.131079751025
2021-07-25,2970.590692271255
2021-08-01,3466.957528498497
2021-08-08,4085.767848294667
2021-08-15,4486.279859029106
2021-08-22,4392.5548393107665
2021-08-29,4372.843961665558
2021-09-05,5358.821944466006
2021-09-12,4618.029372924678
2021-09-19,4515.486685987215
2021-09-26,4150.231778487393
2021-10-03,4636.370120740453
2021-10-10,4631.608580442126
2021-10-17,5218.498944905072
2021-10-24,5537.942679791082
2021-10-31,5815.875550537836
2021-11-07,6257.274405885253
2021-11-14,6276.144213734176
2021-11-21,5776.6708455174285
2021-11-28,5826.144741437645
2021-12-05,5692.740219233253
2021-12-12,5602.610094611941
2021-12-19,5323.347790961381
2021-12-26,5512.47996999063
2022-01-02,5193.293982300256
2022-01-09,4275.849622255206
2022-01-16,4540.257548052014
2022-01-23,3444.3300378500403
2022-01-30,3529.3459154842603
2022-02-06,4144.290027345892
2022-02-13,3894.8721358215944
2022-02-20,3556.8977341335503
2022-02-27,3549.8436003582524
2022-03-06,3460.9886460732446
2022-03-13,3412.6406984287
2022-03-20,3881.64563499291
2022-03-27,4470.760764723449
2022-04-03,4777.696977800179
2022-04-10,4345.129355313761
2022-04-17,4053.4951862726775
2022-04-24,3962.52399185508
2022-05-01,3832.036082653937
2022-05-08,3418.148349030183
2022-05-15,2910.223585924952
2022-05-22,2771.718382375345
2022-05-29,2460.31907312155
2022-06-05,2450.26693249175
2022-06-12,1946.452558874818
2022-06-19,1530.9233825841197
2022-06-26,1624.8790182143432
2022-07-03,1457.3026441253812
2022-07-10,1584.9553341745298
2022-07-17,1815.9646496736746
2022-07-24,2167.3826024604114
2022-07-31,2276.477494423775
2022-08-07,2306.4168660431665
2022-08-14,2625.3722378216553
2022-08-21,2195.0972088122085
2022-08-28,1935.4915202393545
2022-09-04,2142.3946901256045
2022-09-11,2395.841577286948
2022-09-18,1810.348473937187
2022-09-25,1756.248694137399
2022-10-02,1731.9526295382466
2022-10-09,1794.9107734827842
2022-10-16,1771.6050007405486
2022-10-23,1850.6248646657655
2022-10-30,2157.533946458745
2022-11-06,2127.486049704349
2022-11-13,1657.0295894594528
2022-11-20,1549.4811806699047
2022-11-27,1619.574852240994
2022-12-04,1735.601787202776
2022-12-11,1713.354134526835
2022-12-18,1604.896827731623
2022-12-25,1652.987028180532
2023-01-01,1628.3382568926145
2023-01-08,1750.1848522190178
2023-01-15,2106.093032466569
2023-01-22,2207.7268213983675
2023-01-29,2231.168250559359
2023-02-05,2209.8701928147084
2023-02-12,2054.964128237532
2023-02-19,2278.6886940494937
2023-02-26,2226.610194889166
2023-03-05,2122.453196568511
2023-03-12,2143.8190825225397
2023-03-19,2415.606717499659
2023-03-26,2406.382081024269
2023-04-02,2434.3680002135775
2023-04-09,2521.744299534148
2023-04-16,2874.111847252175
2023-04-23,2525.9225172318247
2023-04-30,2536.8971215091638
2023-05-07,2537.3176564073065
2023-05-14,2440.743851895097
2023-05-21,2448.4762677641743
2023-05-28,2589.1926709395007
2023-06-04,2563.9198801253065
2023-06-11,2377.7314453830572
2023-06-18,2334.5791385768575
2023-06-25,2575.8440793339355
2023-07-02,2628.3159821086547
2023-07-09,2527.0077685818706
2023-07-16,2607.465590545898
2023-07-23,2562.183477965233
2023-07-30,2525.6376387524374
2023-08-06,2482.8923012025048
2023-08-13,2497.0683969624793
2023-08-20,2286.1362314391836
2023-08-27,2249.6310891520147
2023-09-03,2219.1219605738493
2023-09-10,2194.134048239043
2023-09-17,2200.998263028083
2023-09-24,2144.334576913812
2023-10-01,2351.997422745094
2023-10-08,2215.052268011177
2023-10-15,2113.2149944512457
2023-10-22,2256.915838839198
2023-10-29,2435.222635651739
2023-11-05,2566.226039244154
2023-11-12,2773.739663014805
2023-11-19,2728.688166346025
2023-11-26,2797.6830209251925
2023-12-03,2974.877435103936
2023-12-10,3191.1680291680836
2023-12-17,2979.7203692535163
2023-12-24,3071.3291488392656
2023-12-31,3095.503122661538
2024-01-07,3013.498817523695
2024-01-14,3354.6068824849954
2024-01-21,3333.146037037838
2024-01-28,3061.6297148982303
2024-02-04,3106.247111026992
2024-02-11,3401.1912966857158
2024-02-18,3908.5327371902968
2024-02-25,4222.4281245491975
2024-03-03,4731.438139004474
2024-03-10,5261.393504515636
2024-03-17,4944.283060032225
2024-03-24,4686.902136726965
2024-03-31,4945.069867261009
2024-04-07,4685.84401666067
2024-04-14,4280.109233804136
2024-04-21,4270.0163962487095
2024-04-28,4427.079397884102
2024-05-05,4254.741483496813
2024-05-12,3973.769908969931
2024-05-19,4166.266367184322
2024-05-26,5190.852166762653
2024-06-02,5129.047102377539
2024-06-09,5027.969504762639
2024-06-16,4916.74480702481
2024-06-23,4640.683994856885
2024-06-30,4664.0847270922495
2024-07-07,3976.089633730654
2024-07-14,4402.159313758673
2024-07-21,4796.702442067859
2024-07-28,4436.181943582612
2024-08-04,3647.692575206766
2024-08-11,3466.5369936003544
2024-08-18,3543.5491425279865
2024-08-25,3725.301612376923
2024-09-01,3290.6448810416655
2024-09-08,3116.4349080755483
2024-09-15,3141.9383148016263
2024-09-22,3501.2921680855743
2024-09-29,3605.2321161362197
2024-10-06,3310.0573145656117
2024-10-13,3349.2348883022682
2024-10-20,3726.3597324432176
2024-10-27,3401.9916695563747
2024-11-03,3334.068500685377
2024-11-10,4318.228687474499
2024-11-17,4172.791440926473
2024-11-24,4559.6835472178345
2024-12-01,5029.610947429584
2024-12-08,5431.886491607846
2024-12-15,5370.759709316511
2024-12-22,4452.013047651406
2024-12-29,4553.280564252565
2025-01-05,4932.453820316725
2025-01-12,4432.302170006198
2025-01-19,4361.516650699454
2025-01-26,4385.2429583398325
2025-02-02,3892.905117749636
2025-02-09,3563.9383022669736
2025-02-16,3610.373494407062
2025-02-23,3825.090474013643
2025-03-02,3415.9778463300913
2025-03-09,2740.815850182788
2025-03-16,2559.8366219207587
2025-03-23,2721.2541945982102
2025-03-30,2452.3153444149616
2025-04-06,2144.4024051231895
2025-04-13,2167.4639963116647
2025-04-20,2153.355728761068
2025-04-27,2429.999863529643
2025-05-04,2453.834696305026
2025-05-11,3411.1756091061384
2025-05-18,3388.39889639705
2025-05-25,3460.893686580115
2025-06-01,3444.6013506875515
2025-06-08,3404.745494857116
2025-06-15,3455.9964898630337
2025-06-22,3022.018040621555
2025-06-29,3391.5325596703074
2025-07-06,3486.844759488088
2025-07-13,4031.749462346133
2025-07-20,5096.1911177549
2025-07-27,5252.752190640896
2025-08-03,4743.552257199361
2025-08-10,5766.171038705734
2025-08-17,6067.002712938456
2025-08-24,6484.580301152366
2025-08-31,5957.799295840088
2025-09-07,5841.623138817674
2025-09-14,6246.2862359660385
2025-09-21,6029.887116766887
2025-09-28,5619.105915132639
2025-10-05,6123.96484317399
2025-10-12,5632.847910352595
2025-10-19,5402.625402082233
2025-10-26,5641.217911389825
2025-11-02,5299.5265238278735
2025-11-09,4861.193503544337
2025-11-16,4198.959564104454
2025-11-23,3801.309903805762
2025-11-30,4057.8361916728613
2025-12-07,4150.8829292974215
2025-12-14,4155.834388582006
2025-12-21,4072.4328223309785
2025-12-28,4003.098826704921
2026-01-04,4265.987400611664
2026-01-11,4237.16041162607
2026-01-18,4454.997488864033
2026-01-25,3821.292094288482
2026-02-01,3079.6041903833657
2026-02-08,2834.8664453061397
2026-02-15,2667.791999966574
2026-02-22,2655.9084976835716
2026-03-01,2631.341120246908
2026-03-08,2627.800487717383
2026-03-15,2955.003769756221
2026-03-22,2786.2336191822083
2026-03-29,2702.0588113442736
