,equity
2020-01-05,10009.643798835352
2020-01-12,10249.584656365383
2020-01-19,10479.047597501538
2020-01-26,10287.794200990385
2020-02-02,10298.99197423575
2020-02-09,10677.990893394455
2020-02-16,11031.543444168028
2020-02-23,10627.41809300263
2020-03-01,9540.377115759924
2020-03-08,9273.972949213294
2020-03-15,8637.67662399424
2020-03-22,7654.992037618804
2020-03-29,8549.579856931212
2020-04-05,8760.783571897882
2020-04-12,9290.826740577493
2020-04-19,10006.238761664823
2020-04-26,10013.437330179699
2020-05-03,9820.435709886364
2020-05-10,10580.981612932055
2020-05-17,10481.02434726832
2020-05-24,10808.364967608355
2020-05-31,10866.867619665774
2020-06-07,11280.122583915912
2020-06-14,10913.052721153292
2020-06-21,11328.684355643263
2020-06-28,11241.890186692452
2020-07-05,11885.99067428557
2020-07-12,12442.564567147234
2020-07-19,12181.463346073231
2020-07-26,11942.242345394687
2020-08-02,12481.312290465969
2020-08-09,12699.611737254449
2020-08-16,12758.777114667204
2020-08-23,13239.321555082606
2020-08-30,13768.23352013845
2020-09-06,13044.971631480135
2020-09-13,12781.766828717895
2020-09-20,12513.911522169059
2020-09-27,12766.68411373434
2020-10-04,12963.684938758164
2020-10-11,13430.872035373739
2020-10-18,13579.196825677911
2020-10-25,13298.143000888544
2020-11-01,12582.639569407374
2020-11-08,13982.144125392699
2020-11-15,13768.449477193897
2020-11-22,13634.693218407927
2020-11-29,14073.874455610856
2020-12-06,14331.240419466585
2020-12-13,14187.269049169028
2020-12-20,14566.279394626963
2020-12-27,14555.744346736934
2021-01-03,14701.201135934387
2021-01-10,14957.12738608714
2021-01-17,14571.421229280448
2021-01-24,15319.032561597816
2021-01-31,14629.523960864819
2021-02-07,15589.104570197267
2021-02-14,15802.89062878991
2021-02-21,15532.795767591999
2021-02-28,14861.180751453127
2021-03-07,14479.976556543037
2021-03-14,14809.305352949084
2021-03-21,14714.627037529597
2021-03-28,14778.020145657441
2021-04-04,15265.283250020062
2021-04-11,15754.363135960248
2021-04-18,15992.555769708095
2021-04-25,15903.0992730367
2021-05-02,15872.728169683453
2021-05-09,15706.246989902866
2021-05-16,15308.20042992781
2021-05-23,15277.166601219225
2021-05-30,15670.848314888433
2021-06-06,15729.111014662027
2021-06-13,16014.642806119617
2021-06-20,16049.60728176331
2021-06-27,16411.626720266286
2021-07-04,16820.89390608517
2021-07-11,16951.805016362876
2021-07-18,16740.029986434707
2021-07-25,17288.343807583027
2021-08-01,17151.968641013555
2021-08-08,17173.977978590312
2021-08-15,17275.71774693392
2021-08-22,17262.00618785796
2021-08-29,17657.493256805505
2021-09-05,17880.488912577497
2021-09-12,17700.75322569015
2021-09-19,17523.851261011834
2021-09-26,17517.898159113025
2021-10-03,16938.744756343025
2021-10-10,16827.818243418526
2021-10-17,17246.637815393657
2021-10-24,17503.295348697127
2021-10-31,18155.83987142119
2021-11-07,18647.385552735203
2021-11-14,18546.04799012449
2021-11-21,18955.086649958772
2021-11-28,18474.86214592181
2021-12-05,17981.31457698271
2021-12-12,18694.232236948137
2021-12-19,17953.240159774687
2021-12-26,18678.364535207482
2022-01-02,18722.24152425055
2022-01-09,17791.226662993013
2022-01-16,17816.124569015108
2022-01-23,16637.57036123961
2022-01-30,16465.06752176483
2022-02-06,16823.841891286498
2022-02-13,16290.028043861
2022-02-20,15838.32015481226
2022-02-27,15837.580873252082
2022-03-06,15522.75205056886
2022-03-13,15277.120896022305
2022-03-20,16465.250342552514
2022-03-27,16820.642527502107
2022-04-03,16927.13563632538
2022-04-10,16352.289948365078
2022-04-17,15693.620929253753
2022-04-24,15224.754166651375
2022-05-01,14719.78029848231
2022-05-08,14370.306936533836
2022-05-15,14242.629468938208
