,equity
2020-01-05,9963.529567341066
2020-01-12,10096.921674581434
2020-01-19,10284.489739731707
2020-01-26,10074.805569209988
2020-02-02,9991.657667813488
2020-02-09,10236.307230922464
2020-02-16,10471.550880873467
2020-02-23,10194.427271219076
2020-03-01,9027.43565661903
2020-03-08,8730.971659639812
2020-03-15,7940.266027359626
2020-03-22,6808.650908353743
2020-03-29,7722.396888700437
2020-04-05,7814.0481312397515
2020-04-12,8509.33768291739
2020-04-19,8830.220580306734
2020-04-26,8739.49354678294
2020-05-03,8612.00524964173
2020-05-10,9101.310557859788
2020-05-17,8884.28526221477
2020-05-24,9183.5126132404
2020-05-31,9360.908197219824
2020-06-07,9921.652698637728
2020-06-14,9263.588060585296
2020-06-21,9472.493299093936
2020-06-28,9307.161888317136
2020-07-05,9720.428595258098
2020-07-12,9878.004686904645
2020-07-19,9982.236299655253
2020-07-26,9913.14626649486
2020-08-02,10112.321036840072
2020-08-09,10348.773267811373
2020-08-16,10431.976807208806
2020-08-23,10513.279381574313
2020-08-30,10883.534822792886
2020-09-06,10527.49798181312
2020-09-13,10388.965541486416
2020-09-20,10275.272377576899
2020-09-27,10219.615830642126
2020-10-04,10422.66671505244
2020-10-11,10752.831885597683
2020-10-18,10772.558647929001
2020-10-25,10653.898246936056
2020-11-01,10077.698745258578
2020-11-08,10951.570824935574
2020-11-15,11163.913255501942
2020-11-22,11003.443987806804
2020-11-29,11260.624465126242
2020-12-06,11436.502368080175
2020-12-13,11371.28226698478
2020-12-20,11484.76833389082
2020-12-27,11472.704160688198
2021-01-03,11611.143871013343
2021-01-10,11799.38577417493
2021-01-17,11610.581309003894
2021-01-24,11897.117013816363
2021-01-31,11386.746540244507
2021-02-07,12045.138824302443
2021-02-14,12182.672871612376
2021-02-21,12076.657751831815
2021-02-28,11866.469748301632
2021-03-07,11918.726195179297
2021-03-14,12213.93524613744
2021-03-21,12076.676297832126
2021-03-28,12243.927219641166
2021-04-04,12494.270404845769
2021-04-11,12732.135222840796
2021-04-18,12894.51781956807
2021-04-25,12901.954765692975
2021-05-02,12967.830158799376
2021-05-09,13099.46966901031
2021-05-16,12905.04576574489
2021-05-23,12836.920124600694
2021-05-30,13013.240040562052
2021-06-06,13077.233014636837
2021-06-13,13137.470423648547
2021-06-20,12859.654429982527
2021-06-27,13253.120190590926
2021-07-04,13438.224728699823
2021-07-11,13511.846167936319
2021-07-18,13340.295665055068
2021-07-25,13632.985550970901
2021-08-01,13641.933996121192
2021-08-08,13667.941670558
2021-08-15,13795.899799707102
2021-08-22,13734.351806673383
2021-08-29,13951.030910312586
2021-09-05,14000.233449138963
2021-09-12,13834.537300356033
2021-09-19,13682.413732801066
2021-09-26,13794.672672686493
2021-10-03,13501.927148769726
2021-10-10,13500.044729738112
2021-10-17,13790.184540611115
2021-10-24,14013.524749362196
2021-10-31,14272.513461712002
2021-11-07,14501.584384559332
2021-11-14,14497.25698448665
2021-11-21,14528.7388200154
2021-11-28,14306.505189282907
2021-12-05,14089.702445641626
2021-12-12,14590.568094053844
2021-12-19,14200.156241496737
2021-12-26,14626.414421655894
2022-01-02,14784.729262314851
2022-01-09,14423.32644524496
2022-01-16,14418.417937162521
2022-01-23,13669.1502515783
2022-01-30,13663.86773248958
2022-02-06,13930.939409975143
2022-02-13,13672.578170635872
2022-02-20,13376.426364661897
2022-02-27,13256.987031655872
2022-03-06,13205.781524795853
2022-03-13,13083.105914735475
2022-03-20,13789.408699598083
2022-03-27,14013.524749362196
2022-04-03,14021.215157491357
2022-04-10,13851.547073641721
2022-04-17,13483.662429462966
2022-04-24,13176.145016298098
2022-05-01,12786.641917756255
2022-05-08,12625.928461057014
2022-05-15,12484.660485684368
2022-05-22,12172.664213444279
2022-05-29,12887.3034254469
2022-06-05,12702.631627345272
2022-06-12,11942.236341574158
2022-06-19,11442.103260174244
2022-06-26,12043.593324276486
2022-07-03,11773.130819733971
2022-07-10,12033.720670110672
2022-07-17,11964.472995947632
2022-07-24,12220.098700240958
2022-07-31,12718.068081604531
2022-08-07,12772.132763512567
2022-08-14,13185.38092445322
2022-08-21,13002.140259375627
2022-08-28,12401.249849283457
2022-09-04,12153.623653124485
2022-09-11,12601.518833647046
2022-09-18,11981.192215228437
2022-09-25,11396.956113415981
2022-10-02,11044.57592549763
2022-10-09,11195.664008035208
2022-10-16,11140.322743105731
2022-10-23,11671.127818020794
2022-10-30,12040.622873226595
2022-11-06,11570.735227334664
2022-11-13,12314.531842826997
2022-11-20,12246.8883976909
2022-11-27,12396.696806206986
2022-12-04,12573.177454171042
2022-12-11,12135.343478817464
2022-12-18,11909.066820017066
2022-12-25,11879.356127518064
2023-01-01,11885.284665617635
2023-01-08,12058.788680531698
2023-01-15,12347.305716377445
2023-01-22,12262.92141496018
2023-01-29,12562.3744089896
2023-02-05,12760.470420316693
2023-02-12,12607.873929753781
2023-02-19,12581.019321302749
2023-02-26,12282.614176290926
2023-03-05,12489.114616759176
2023-03-12,12077.238859841575
2023-03-19,12176.796880513688
2023-03-26,12345.206927342195
2023-04-02,12675.508101889724
2023-04-09,12695.135952219378
2023-04-16,12815.060572233555
2023-04-23,12759.592576301951
2023-04-30,12867.891945120879
2023-05-07,12767.755907439056
2023-05-14,12730.481537813022
2023-05-21,12943.160887385047
2023-05-28,13050.285676184247
2023-06-04,13227.28252115697
2023-06-11,13311.78428057621
2023-06-18,13639.380830078311
2023-06-25,13467.876692197839
2023-07-02,13759.04889708818
2023-07-09,13610.22033558855
2023-07-16,13903.840612520009
2023-07-23,14009.88664230109
2023-07-30,14177.406481114645
2023-08-06,13871.98785698503
2023-08-13,13825.023202196242
2023-08-20,13515.641916000071
2023-08-27,13639.572472081529
2023-09-03,13950.190158298465
2023-09-10,13795.531970700926
2023-09-17,13783.643984501265
2023-09-24,13369.901263552305
2023-10-01,13315.62639364074
2023-10-08,13229.254579190092
2023-10-15,13412.557064268725
2023-10-22,13094.023326918836
2023-10-29,12769.066491461068
2023-11-05,13476.386215340757
2023-11-12,13617.444002709875
2023-11-19,13940.771881140283
2023-11-26,14069.184387297017
2023-12-03,14186.17873926198
2023-12-10,14239.207936152625
2023-12-17,14591.436665068431
2023-12-24,14686.212908660234
2023-12-31,14735.03216348017
2024-01-07,14528.089710004499
2024-01-14,14763.26844895441
2024-01-21,14971.657490454378
2024-01-28,15076.127110208981
2024-02-04,15313.948654203281
2024-02-11,15529.555180824469
2024-02-18,15483.208726046065
2024-02-25,15729.388334180741
2024-03-03,15866.038355475826
2024-03-10,15841.254717059577
2024-03-17,15828.476522844963
2024-03-24,16177.119691700549
2024-03-31,16304.1041558333
2024-04-07,16100.62671341582
2024-04-14,15887.35698283388
2024-04-21,15404.712779727697
2024-04-28,15794.645527276756
2024-05-05,15864.746317454124
2024-05-12,16135.728110005364
2024-05-19,16420.71213279177
2024-05-26,16378.043968075144
2024-06-02,16345.14954552267
2024-06-09,16515.312189380613
2024-06-16,16790.253552998354
2024-06-23,16903.486157900134
2024-06-30,16901.121542860423
2024-07-07,17177.095300495497
2024-07-14,17371.01846175251
2024-07-21,17079.86789386253
2024-07-28,16920.533023186443
2024-08-04,16360.26144477648
2024-08-11,16518.66592443694
2024-08-18,17194.930370795046
2024-08-25,17394.982985155002
2024-09-01,17430.557304752485
2024-09-08,16718.026154785268
