,equity
2020-01-05,10000.0
2020-01-12,10000.0
2020-01-19,10000.0
2020-01-26,10000.0
2020-02-02,10000.0
2020-02-09,10000.0
2020-02-16,10000.0
2020-02-23,10000.0
2020-03-01,10000.0
2020-03-08,10000.0
2020-03-15,10000.0
2020-03-22,10000.0
2020-03-29,10000.0
2020-04-05,10000.0
2020-04-12,10000.0
2020-04-19,10000.0
2020-04-26,10000.0
2020-05-03,10000.0
2020-05-10,10000.0
2020-05-17,9852.801388332406
2020-05-24,10176.590715919754
2020-05-31,10305.971957500265
2020-06-07,10965.281704948904
2020-06-14,10123.245092485478
2020-06-21,10445.552656646923
2020-06-28,10335.95885287851
2020-07-05,10334.294909279606
2020-07-12,10334.294909279606
2020-07-19,10358.918554097178
2020-07-26,10170.765887168942
2020-08-02,10236.766037412266
2020-08-09,10572.836559979158
2020-08-16,10650.617231277187
2020-08-23,10757.761746063014
2020-08-30,11097.372900527069
2020-09-06,10686.170608120086
2020-09-13,10531.91310095535
2020-09-20,10529.392299816882
2020-09-27,10529.392299816882
2020-10-04,10529.392299816882
2020-10-11,10529.392299816882
2020-10-18,10578.103103797908
2020-10-25,10443.979153495096
2020-11-01,10028.296560252078
2020-11-08,10025.523244711327
2020-11-15,10166.662672580853
2020-11-22,10287.365156483418
2020-11-29,10643.165813036492
2020-12-06,10732.779355401843
2020-12-13,10709.806957183742
2020-12-20,10826.064404002142
2020-12-27,10824.022036860255
2021-01-03,10774.232513294139
2021-01-10,11145.135673238377
2021-01-17,11116.470048235476
2021-01-24,11382.90611384308
2021-01-31,10886.702119326275
2021-02-07,10870.586649711575
2021-02-14,11084.659622851861
2021-02-21,11199.818849607247
2021-02-28,10831.625288644544
2021-03-07,10756.513533481286
2021-03-14,10811.873925798309
2021-03-21,10648.386692305023
2021-03-28,10598.550693941273
2021-04-04,10836.47967474676
2021-04-11,10883.471210456437
2021-04-18,11068.255536844146
2021-04-25,10951.930403450222
2021-05-02,10901.327614338123
2021-05-09,11102.777697573048
2021-05-16,11020.290100930017
2021-05-23,10982.064987990772
2021-05-30,10977.694156890555
2021-06-06,11049.634739938174
2021-06-13,11035.72700007103
2021-06-20,10989.213072312958
2021-06-27,11122.077230919094
2021-07-04,11159.048965460486
2021-07-11,11201.104654488801
2021-07-18,11116.181285463852
2021-07-25,11353.749727037333
2021-08-01,11322.049895023232
2021-08-08,11363.642517707263
2021-08-15,11518.295185972234
2021-08-22,11371.94907628806
2021-08-29,11522.514228006261
2021-09-05,11562.107256542151
2021-09-12,11579.801355806148
2021-09-19,11494.015054063128
2021-09-26,11492.172167971681
2021-10-03,11492.172167971681
2021-10-10,11492.172167971681
2021-10-17,11492.172167971681
2021-10-24,11436.179241599675
2021-10-31,11422.995933642109
2021-11-07,11634.373375659514
2021-11-14,11583.226073877193
2021-11-21,11560.856879503855
