,equity
2020-01-05,10000.0
2020-01-12,10000.0
2020-01-19,10000.0
2020-01-26,10000.0
2020-02-02,10000.0
2020-02-09,10000.0
2020-02-16,10000.0
2020-02-23,10000.0
2020-03-01,10000.0
2020-03-08,10000.0
2020-03-15,10000.0
2020-03-22,10000.0
2020-03-29,10000.0
2020-04-05,10000.0
2020-04-12,10000.0
2020-04-19,10000.0
2020-04-26,10000.0
2020-05-03,10000.0
2020-05-10,10000.0
2020-05-17,9852.801388332406
2020-05-24,10176.590715919754
2020-05-31,10305.971957500265
2020-06-07,10965.281704948904
2020-06-14,10123.245092485478
2020-06-21,10445.552656646923
2020-06-28,10335.95885287851
2020-07-05,10334.294909279606
2020-07-12,10334.294909279606
2020-07-19,10358.918554097178
2020-07-26,10170.765887168942
2020-08-02,10236.766037412266
2020-08-09,10572.836559979158
2020-08-16,10650.617231277187
2020-08-23,10757.761746063014
2020-08-30,11097.372900527069
2020-09-06,10686.170608120086
2020-09-13,10531.91310095535
2020-09-20,10529.392299816882
2020-09-27,10529.392299816882
2020-10-04,10529.392299816882
2020-10-11,10529.392299816882
2020-10-18,10578.103103797908
2020-10-25,10443.979153495096
2020-11-01,10028.296560252078
2020-11-08,9162.821315188616
2020-11-15,9200.325359115835
2020-11-22,9309.555119099125
2020-11-29,9631.537062308844
2020-12-06,9712.632872497146
2020-12-13,9691.843991751088
2020-12-20,9797.05121368775
2020-12-27,9795.202972744455
2021-01-03,9750.145923933438
2021-01-10,10085.794883489692
2021-01-17,10059.853914939573
2021-01-24,10300.96533664571
2021-01-31,9851.925337870121
2021-02-07,9837.341637343687
2021-02-14,10031.067058055803
2021-02-21,10135.280445317208
2021-02-28,9802.083538418321
2021-03-07,9734.111126226464
2021-03-14,9784.209534890948
2021-03-21,9636.26169904344
2021-03-28,9591.162592846138
2021-04-04,9806.476517018822
2021-04-11,9849.001525625583
2021-04-18,10016.222174011707
2021-04-25,9910.953699082069
2021-05-02,9865.160685297355
2021-05-09,10047.463016856052
2021-05-16,9972.815834034283
2021-05-23,9938.224003139916
2021-05-30,9934.268617827467
2021-06-06,9999.371276573846
2021-06-13,9986.78546194534
2021-06-20,9944.692664841052
2021-06-27,10064.928137100633
2021-07-04,10098.38572272399
2021-07-11,10136.444034947315
2021-07-18,10059.592598956526
2021-07-25,10274.580253010288
2021-08-01,10245.893477639487
2021-08-08,10283.532737793565
2021-08-15,10423.485730384784
2021-08-22,10291.049761227812
2021-08-29,10427.303754122458
2021-09-05,10463.13348077065
2021-09-12,10479.14576281521
2021-09-19,10401.51341552393
2021-09-26,10399.845695035197
2021-10-03,10399.845695035197
2021-10-10,10162.748858503224
2021-10-17,9907.80154961862
2021-10-24,9862.28376650389
2021-10-31,9850.914801282901
2021-11-07,10033.201583517854
2021-11-14,9989.093390264517
2021-11-21,9969.802739263225
