,equity
2020-01-05,10000.0
2020-01-12,10000.0
2020-01-19,10000.0
2020-01-26,10000.0
2020-02-02,10000.0
2020-02-09,10000.0
2020-02-16,10000.0
2020-02-23,10000.0
2020-03-01,10000.0
2020-03-08,10000.0
2020-03-15,10000.0
2020-03-22,10000.0
2020-03-29,10000.0
2020-04-05,10000.0
2020-04-12,10000.0
2020-04-19,10000.0
2020-04-26,10000.0
2020-05-03,10000.0
2020-05-10,10000.0
2020-05-17,9831.673389738758
2020-05-24,10150.683203639823
2020-05-31,10275.760012483495
2020-06-07,10779.002339084265
2020-06-14,10244.126466946145
2020-06-21,10555.239889118646
2020-06-28,10423.422824399626
2020-07-05,10611.35508095704
2020-07-12,10680.604608044152
2020-07-19,10624.233855327326
2020-07-26,10484.508947870763
2020-08-02,10822.977634301229
2020-08-09,11044.621342041806
2020-08-16,11115.072111108733
2020-08-23,11364.54235394207
2020-08-30,11791.547721311556
2020-09-06,11289.217443685215
2020-09-13,11101.545246862752
2020-09-20,11051.506777936656
2020-09-27,11027.6079191245
2020-10-04,11115.930969707282
2020-10-11,11258.593316791943
2020-10-18,11329.65678304405
2020-10-25,11149.806950033384
2020-11-01,10548.33875809662
2020-11-08,10546.465028355966
2020-11-15,10565.720768414772
2020-11-22,10438.038878706067
2020-11-29,10727.44135208511
2020-12-06,10909.149796880421
2020-12-13,10823.467247176239
2020-12-20,11021.009534714321
2020-12-27,11011.229654940329
2021-01-03,11132.718821746286
2021-01-10,11319.836190519141
2021-01-17,11083.512302355915
2021-01-24,11503.34461239673
2021-01-31,10997.671159710824
2021-02-07,11258.144786753734
2021-02-14,11398.244938103666
2021-02-21,11251.425940421948
2021-02-28,10911.436433274608
2021-03-07,10799.021721549776
2021-03-14,10906.001292427078
2021-03-21,10809.04604702075
2021-03-28,10907.285510168665
2021-04-04,11198.129439310938
2021-04-11,11484.04187908069
2021-04-18,11644.16197888008
2021-04-25,11614.71765163277
2021-05-02,11633.137239639516
2021-05-09,11631.179792914876
2021-05-16,11398.110975806734
2021-05-23,11356.180968467832
2021-05-30,11418.232208135725
2021-06-06,11465.697720650383
2021-06-13,11485.444451852365
2021-06-20,11376.053110164734
2021-06-27,11678.23926157902
2021-07-04,11905.349811583266
2021-07-11,11984.350667038747
2021-07-18,11833.42017421783
2021-07-25,12157.400935369957
2021-08-01,12112.86941962056
2021-08-08,12132.16199253939
2021-08-15,12224.754631563384
2021-08-22,12192.739122751056
2021-08-29,12428.874971518344
2021-09-05,12529.84109171652
2021-09-12,12392.881351889235
2021-09-19,12262.914157660682
2021-09-26,12301.723876559448
2021-10-03,12198.190653490967
2021-10-10,12197.298016663804
2021-10-17,12197.298016663804
2021-10-24,12384.42078928127
2021-10-31,12729.638503705126
2021-11-07,13004.707644838549
2021-11-14,12966.96701495938
2021-11-21,13125.49997038448
