,equity
2020-01-05,10000.0
2020-01-12,10000.0
2020-01-19,10000.0
2020-01-26,10000.0
2020-02-02,10000.0
2020-02-09,10000.0
2020-02-16,10000.0
2020-02-23,10000.0
2020-03-01,10000.0
2020-03-08,10000.0
2020-03-15,10000.0
2020-03-22,10000.0
2020-03-29,10000.0
2020-04-05,10000.0
2020-04-12,10000.0
2020-04-19,10000.0
2020-04-26,10000.0
2020-05-03,10000.0
2020-05-10,10000.0
2020-05-17,9831.673389738758
2020-05-24,10150.683203639823
2020-05-31,10275.760012483495
2020-06-07,10779.002339084265
2020-06-14,10244.126466946145
2020-06-21,10555.239889118646
2020-06-28,10423.422824399626
2020-07-05,10611.35508095704
2020-07-12,10680.604608044152
2020-07-19,10624.233855327326
2020-07-26,10484.508947870763
2020-08-02,10822.977634301229
2020-08-09,11044.621342041806
2020-08-16,11115.072111108733
2020-08-23,11364.54235394207
2020-08-30,11791.547721311556
2020-09-06,11289.217443685215
2020-09-13,11101.545246862752
2020-09-20,11051.506777936656
2020-09-27,11027.6079191245
2020-10-04,11115.930969707282
2020-10-11,11258.593316791943
2020-10-18,11329.65678304405
2020-10-25,11149.806950033384
2020-11-01,10548.33875809662
2020-11-08,9501.048463335048
2020-11-15,9515.983159881427
2020-11-22,9400.986867728592
2020-11-29,9661.636294631458
2020-12-06,9825.291433602148
2020-12-13,9748.12171485299
2020-12-20,9926.037554461052
2020-12-27,9917.229336519766
2021-01-03,10026.64817227866
2021-01-10,10195.174841607906
2021-01-17,9982.330475442024
2021-01-24,10360.451124273244
2021-01-31,9905.017920459726
2021-02-07,10139.61267294867
2021-02-14,10265.793433368559
2021-02-21,10133.561365144073
2021-02-28,9827.350885474552
2021-03-07,9726.10492912728
2021-03-14,9822.455742974547
2021-03-21,9735.133306316286
2021-03-28,9823.61236964209
2021-04-04,10085.560039141863
2021-04-11,10343.066178257614
2021-04-18,10487.277842245978
2021-04-25,10460.758901571618
2021-05-02,10477.348445543681
2021-05-09,10475.585477311193
2021-05-16,10265.672780647405
2021-05-23,10227.908651490832
2021-05-30,10283.794905223243
2021-06-06,10326.544569696196
2021-06-13,10344.329401010546
2021-06-20,10245.806433372767
2021-06-27,10517.969439667995
2021-07-04,10722.515841815257
2021-07-11,10793.667713666531
2021-07-18,10657.732640283746
2021-07-25,10949.524893251999
2021-08-01,10909.41772373243
2021-08-08,10926.793518818286
2021-08-15,11010.186787767367
2021-08-22,10981.352120507952
2021-08-29,11194.027129583641
2021-09-05,11284.961948001011
2021-09-12,11161.609589336156
2021-09-19,11044.555044859346
2021-09-26,11079.508896051819
2021-10-03,10986.262024512953
2021-10-10,11020.138511452038
2021-10-17,10760.302718782408
2021-10-24,10923.208464312098
2021-10-31,11227.6946509805
2021-11-07,11470.308950173257
2021-11-14,11437.021259553007
2021-11-21,11576.849237787615
