,equity
2015-01-11,99887.29572959809
2015-01-18,102069.55010567179
2015-01-25,106441.29684911629
2015-02-01,106415.96387957648
2015-02-08,104540.72096768783
2015-02-15,106193.99881313226
2015-02-22,106491.35962225455
2015-03-01,107613.85143924545
2015-03-08,107818.92785932978
2015-03-15,104481.61070542823
2015-03-22,103561.78264475592
2015-03-29,100705.18874616966
2015-04-05,103627.52773237118
2015-04-12,105765.75099472089
2015-04-19,103769.27172860592
2015-04-26,100368.6221508548
2015-05-03,98978.92782181286
2015-05-10,98802.2002009755
2015-05-17,99579.68109947162
2015-05-24,101915.13962466714
2015-05-31,101729.3645147084
2015-06-07,97880.56264247891
2015-06-14,96403.4092519304
2015-06-21,99316.70074901056
2015-06-28,101117.15108416259
2015-07-05,102373.54574014973
2015-07-12,100813.75861562605
2015-07-19,103911.6188907821
2015-07-26,102865.12598241067
2015-08-02,102911.56975990036
2015-08-09,103388.07085362569
2015-08-16,102766.20676801704
2015-08-23,99940.37433244345
2015-08-30,96455.2815228929
2015-09-06,92356.16578497225
2015-09-13,93896.65159937032
2015-09-20,96113.28643410523
2015-09-27,94920.22420196765
2015-10-04,95868.4010618869
2015-10-11,98653.82137938507
2015-10-18,99419.84212499413
2015-10-25,100087.54682215102
2015-11-01,97186.31864389936
2015-11-08,96049.95401025566
2015-11-15,93624.62375978791
2015-11-22,94718.76677753187
2015-11-29,95850.90924958559
2015-12-06,93945.50804062572
2015-12-13,91803.06261668603
2015-12-20,93648.14723150346
2015-12-27,94853.87594841096
2016-01-03,95993.25641176176
2016-01-10,91767.47582614198
2016-01-17,89678.10900504763
2016-01-24,89544.80933199283
2016-01-31,91191.45235208161
2016-02-07,90476.09754555221
2016-02-14,84087.96705992572
2016-02-21,86880.02220277957
2016-02-28,84876.90811130892
2016-03-06,90497.20835350206
2016-03-13,90647.99983885819
2016-03-20,91688.46108781538
2016-03-27,92950.28423727535
2016-04-03,93041.36229443045
2016-04-10,91178.18270137029
2016-04-17,94674.13249786646
2016-04-24,95330.9802080777
2016-05-01,94642.76786891239
2016-05-08,93300.72364924297
2016-05-15,94257.94799828359
2016-05-22,93611.35410907656
2016-05-29,98308.20729494885
2016-06-05,99074.22804055792
2016-06-12,98589.28262365265
2016-06-19,98389.03153109972
2016-06-26,97432.41034800053
2016-07-03,100458.49387612706
2016-07-10,100433.76407252865
2016-07-17,103000.23515328973
2016-07-24,103098.55120174194
2016-07-31,104254.82031145261
2016-08-07,104701.16310810672
2016-08-14,104420.08777940292
2016-08-21,104554.59378434058
2016-08-28,103425.46714199398
2016-09-04,106213.90328919928
2016-09-11,106936.4960870258
2016-09-18,105925.58996919838
2016-09-25,106460.59815924188
2016-10-02,103997.26845446439
2016-10-09,104900.2078687768
2016-10-16,103581.08395488151
2016-10-23,104844.11343622432
2016-10-30,103956.85633638894
2016-11-06,101761.93547554532
2016-11-13,100263.06811110553
2016-11-20,97323.84047854412
2016-11-27,97835.32519687207
