,equity
2015-01-11,100000.0
2015-01-18,100000.0
2015-01-25,100000.0
2015-02-01,100000.0
2015-02-08,100000.0
2015-02-15,100000.0
2015-02-22,100000.0
2015-03-01,100000.0
2015-03-08,100000.0
2015-03-15,100000.0
2015-03-22,100000.0
2015-03-29,100000.0
2015-04-05,100000.0
2015-04-12,100000.0
2015-04-19,100000.0
2015-04-26,100000.0
2015-05-03,100000.0
2015-05-10,100000.0
2015-05-17,100000.0
2015-05-24,100000.0
2015-05-31,100000.0
2015-06-07,100000.0
2015-06-14,100000.0
2015-06-21,100000.0
2015-06-28,100000.0
2015-07-05,100000.0
2015-07-12,100000.0
2015-07-19,100000.0
2015-07-26,100000.0
2015-08-02,100000.0
2015-08-09,100000.0
2015-08-16,100000.0
2015-08-23,100000.0
2015-08-30,100000.0
2015-09-06,100000.0
2015-09-13,100000.0
2015-09-20,100000.0
2015-09-27,100000.0
2015-10-04,100000.0
2015-10-11,100000.0
2015-10-18,100000.0
2015-10-25,100000.0
2015-11-01,100000.0
2015-11-08,100000.0
2015-11-15,100000.0
2015-11-22,100000.0
2015-11-29,100000.0
2015-12-06,100000.0
2015-12-13,100000.0
2015-12-20,100000.0
2015-12-27,100000.0
2016-01-03,100000.0
2016-01-10,100000.0
2016-01-17,100000.0
2016-01-24,100000.0
2016-01-31,100000.0
2016-02-07,100000.0
2016-02-14,100000.0
2016-02-21,100000.0
2016-02-28,100000.0
2016-03-06,100000.0
2016-03-13,100000.0
2016-03-20,100000.0
2016-03-27,100000.0
2016-04-03,100000.0
2016-04-10,100000.0
2016-04-17,100000.0
2016-04-24,100000.0
2016-05-01,100000.0
2016-05-08,100000.0
2016-05-15,100000.0
2016-05-22,100000.0
2016-05-29,100000.0
2016-06-05,100000.0
2016-06-12,100000.0
2016-06-19,100000.0
2016-06-26,100000.0
2016-07-03,100000.0
2016-07-10,100000.0
2016-07-17,100000.0
2016-07-24,100000.0
2016-07-31,100000.0
2016-08-07,100000.0
2016-08-14,100000.0
2016-08-21,100000.0
2016-08-28,100000.0
2016-09-04,100000.0
2016-09-11,100000.0
2016-09-18,100000.0
2016-09-25,100000.0
2016-10-02,100000.0
2016-10-09,100000.0
2016-10-16,100000.0
2016-10-23,100000.0
2016-10-30,100000.0
2016-11-06,100000.0
2016-11-13,100000.0
2016-11-20,100000.0
2016-11-27,100000.0
2016-12-04,100000.0
2016-12-11,100000.0
2016-12-18,100000.0
2016-12-25,100000.0
2017-01-01,100000.0
2017-01-08,100410.35096299717
2017-01-15,100319.32806253718
2017-01-22,98522.02229055323
2017-01-29,106025.70738518557
2017-02-05,106675.41323366351
2017-02-12,104414.29516741776
2017-02-19,104771.53426546509
2017-02-26,108817.82950430477
2017-03-05,108095.57602747498
2017-03-12,107177.65777270956
2017-03-19,111924.40101003481
2017-03-26,111644.63032146652
2017-04-02,113255.49957085252
2017-04-09,118566.0618515923
2017-04-16,121317.07856211285
2017-04-23,122257.9184811626
2017-04-30,118688.68270974327
2017-05-07,119531.84712249346
2017-05-14,118448.19682241335
2017-05-21,117698.00619127443
2017-05-28,115055.9046533947
2017-06-04,111664.18672144733
2017-06-11,112641.52443114421
2017-06-18,112379.15309137962
2017-06-25,111436.60888686108
2017-07-02,112193.61817535831
2017-07-09,113664.33068744297
2017-07-16,113947.638407322
2017-07-23,111534.05591019313
2017-07-30,109977.19253945112
2017-08-06,109559.35558857815
2017-08-13,104133.33909205634
2017-08-20,106567.31376091376
2017-08-27,106373.85139451225
2017-09-03,107604.94281695894
2017-09-10,108497.07282544786
2017-09-17,108471.01998816771
2017-09-24,105327.76063818972
2017-10-01,104128.1917329369
2017-10-08,104768.07887183143
2017-10-15,108086.96827575163
2017-10-22,108458.0661126004
2017-10-29,110169.70639704246
2017-11-05,109070.87549176763
2017-11-12,105041.94751001536
2017-11-19,105304.91836898212
2017-11-26,104807.65405884778
2017-12-03,100289.87324269723
2017-12-10,100942.81090166376
2017-12-17,100547.05916829998
2017-12-24,108382.64440435836
2017-12-31,110583.93199879726
2018-01-07,117626.16083254552
2018-01-14,119639.47740658073
2018-01-21,115105.0495810134
2018-01-28,118971.30078654422
2018-02-04,114320.51725625937
2018-02-11,113395.23111089281
2018-02-18,113820.22019883926
2018-02-25,113820.22019883926
2018-03-04,113820.22019883926
2018-03-11,113820.22019883926
2018-03-18,113820.22019883926
2018-03-25,113820.22019883926
2018-04-01,113820.22019883926
2018-04-08,113820.22019883926
2018-04-15,114360.1706668332
2018-04-22,115757.53716430083
2018-04-29,116409.16588699311
2018-05-06,114886.77913449887
2018-05-13,114903.06684237118
2018-05-20,116521.57810421739
2018-05-27,117537.3715439414
2018-06-03,116566.32494043293
2018-06-10,116324.41570797935
2018-06-17,117221.88013347457
2018-06-24,116015.2920672377
2018-07-01,113159.40068802805
2018-07-08,114518.69760521749
2018-07-15,118158.38446405323
2018-07-22,118083.08988577759
2018-07-29,123495.0936533382
2018-08-05,125919.62138023846
2018-08-12,127856.67683475217
2018-08-19,128564.93637251075
2018-08-26,131026.05835479076
2018-09-02,134113.06842961555
2018-09-09,125943.61236505503
2018-09-16,123603.08376657343
2018-09-23,121185.56264871125
2018-09-30,121157.86526696169
2018-10-07,121157.86526696169
2018-10-14,121157.86526696169
2018-10-21,121157.86526696169
2018-10-28,121157.86526696169
2018-11-04,121157.86526696169
2018-11-11,123265.38123922318
2018-11-18,122205.2617613234
2018-11-25,123163.62366435604
2018-12-02,122599.09829315572
2018-12-09,118651.01811879808
2018-12-16,118122.31739417932
2018-12-23,116382.30646501582
2018-12-30,117612.59121915881
2019-01-06,117621.70278785154
2019-01-13,115803.55933760732
2019-01-20,115512.10599613664
2019-01-27,110058.78307416149
2019-02-03,110048.00507253702
2019-02-10,110250.16220563496
2019-02-17,108291.28936002246
2019-02-24,108372.33926954558
2019-03-03,108670.3967383378
2019-03-10,108612.42995695389
2019-03-17,111448.43734322031
2019-03-24,111627.53940771578
2019-03-31,114065.85360498048
2019-04-07,114684.86340092724
2019-04-14,114801.54133376887
2019-04-21,116406.18511045082
2019-04-28,111911.35741116249
2019-05-05,112373.44580992757
2019-05-12,106062.23991046676
2019-05-19,106405.72006492293
