,equity
2021-01-03,1000.0
2021-01-10,1000.0
2021-01-17,1000.0
2021-01-24,1000.0
2021-01-31,1000.0
2021-02-07,1000.0
2021-02-14,1000.0
2021-02-21,1000.0
2021-02-28,1000.0
2021-03-07,1000.0
2021-03-14,1000.0
2021-03-21,1000.0
2021-03-28,1000.0
2021-04-04,1000.0
2021-04-11,1000.0
2021-04-18,1000.0
2021-04-25,1000.0
2021-05-02,1000.0
2021-05-09,1000.0
2021-05-16,1000.0
2021-05-23,1000.0
2021-05-30,1000.0
2021-06-06,1000.0
2021-06-13,1000.0
2021-06-20,1000.0
2021-06-27,1000.0
2021-07-04,1000.0
2021-07-11,1000.0
2021-07-18,1000.0
2021-07-25,1000.0
2021-08-01,1000.0
2021-08-08,1000.0
2021-08-15,1000.0
2021-08-22,1000.0
2021-08-29,1000.0
2021-09-05,1000.0
2021-09-12,1000.0
2021-09-19,1000.0
2021-09-26,1000.0
2021-10-03,1000.0
2021-10-10,1000.0
2021-10-17,1000.0
2021-10-24,1000.0
2021-10-31,1000.0
2021-11-07,1000.0
2021-11-14,1000.0
2021-11-21,1000.0
2021-11-28,1000.0
2021-12-05,1000.0
2021-12-12,1000.0
2021-12-19,1000.0
2021-12-26,1000.0
2022-01-02,1000.0
2022-01-09,1000.0
2022-01-16,1000.0
2022-01-23,1000.0
2022-01-30,1000.0
2022-02-06,1000.0
2022-02-13,1000.0
2022-02-20,1085.8979196951664
2022-02-27,1084.8989196951666
2022-03-06,1063.0649443201767
2022-03-13,1077.2428104926362
2022-03-20,957.6850998803791
2022-03-27,956.6221396092961
2022-04-03,984.1818121249785
2022-04-10,902.6447156002359
2022-04-17,901.8315645646808
2022-04-24,906.1062386484288
2022-05-01,930.3475869394836
2022-05-08,1028.4389593464255
2022-05-15,1133.6681958049053
2022-05-22,1171.3513857129903
2022-05-29,1231.6294956670858
2022-06-05,1225.0630472669072
2022-06-12,1415.2358795461082
2022-06-19,1724.225589292054
2022-06-26,1664.2201704283561
2022-07-03,1796.3039808556205
2022-07-10,1688.4935911812036
2022-07-17,1581.1574016546374
2022-07-24,1579.5749043748253
2022-07-31,1579.5749043748253
2022-08-07,1579.5749043748253
2022-08-14,1579.5749043748253
2022-08-21,1579.5749043748253
2022-08-28,1721.8180746252006
2022-09-04,1609.166657162033
2022-09-11,1419.8687529472825
2022-09-18,1779.1216565253703
2022-09-25,1828.9735607450282
2022-10-02,1828.8035610377524
2022-10-09,1784.8660984396652
2022-10-16,1802.6215429062631
2022-10-23,1754.9095006345378
2022-10-30,1753.227898319672
2022-11-06,1753.227898319672
2022-11-13,1753.227898319672
2022-11-20,1811.0847237329176
2022-11-27,1766.075140900679
2022-12-04,1668.4580224523831
2022-12-11,1681.3230605105746
2022-12-18,1679.5787552002448
2022-12-25,1679.5787552002448
2023-01-01,1679.5787552002448
2023-01-08,1589.3324282870788
2023-01-15,1587.661518435138
2023-01-22,1662.6147289201676
2023-01-29,1707.3486216016365
2023-02-05,1669.9841450831223
2023-02-12,1575.5442087117258
2023-02-19,1753.8183162616638
2023-02-26,1707.5328511226135
2023-03-05,1705.8813279581618
2023-03-12,1705.8813279581618
2023-03-19,2043.635708229222
2023-03-26,2039.4424333312004
2023-04-02,2058.712768862443
2023-04-09,2101.1603317615227
2023-04-16,2322.416291755276
2023-04-23,2103.446250210011
2023-04-30,2101.593426828637
2023-05-07,2070.8347138287104
2023-05-14,1980.5491510215638
2023-05-21,1978.6571610125807
2023-05-28,1978.6571610125807
2023-06-04,1978.6571610125807
2023-06-11,1978.6571610125807
2023-06-18,1978.6571610125807
2023-06-25,1978.6571610125807
2023-07-02,1986.6966872196087
2023-07-09,1932.4412631287278
2023-07-16,1964.9848245026258
2023-07-23,1943.1315502402113
2023-07-30,1941.1935140230623
2023-08-06,1941.1935140230623
2023-08-13,1941.1935140230623
2023-08-20,1941.1935140230623
2023-08-27,1957.9962180566135
2023-09-03,1975.7699195601315
2023-09-10,1991.1663344807362
2023-09-17,1962.8610630965172
2023-09-24,1960.9221810036374
2023-10-01,1960.9221810036374
2023-10-08,1953.6775137943164
