,equity
2023-01-01,1000.0
2023-01-08,946.2684755723726
2023-01-15,945.2736369279999
2023-01-22,989.8998327839323
2023-01-29,1016.5338280895802
2023-02-05,994.2874901891822
2023-02-12,938.0591435998988
2023-02-19,1044.20129799306
2023-02-26,1016.6435160219895
2023-03-05,1015.6602199667506
2023-03-12,1015.6602199667506
2023-03-19,1216.7549166133465
2023-03-26,1214.2582936446179
2023-04-02,1225.7316082906732
2023-04-09,1251.0043516899664
2023-04-16,1382.7373587363516
2023-04-23,1252.365358693306
2023-04-30,1251.2622110286684
2023-05-07,1232.9488613838885
2023-05-14,1179.193976400015
2023-05-21,1178.0675094194548
2023-05-28,1178.0675094194548
2023-06-04,1178.0675094194548
2023-06-11,1178.0675094194548
2023-06-18,1178.0675094194548
2023-06-25,1055.2648814964848
2023-07-02,1059.5525518606655
2023-07-09,1030.6168449570473
2023-07-16,1047.9730995489876
2023-07-23,1036.3182290998616
2023-07-30,1035.2846283329764
2023-08-06,1035.2846283329764
2023-08-13,1035.2846283329764
2023-08-20,1035.2846283329764
2023-08-27,1044.2459096656717
2023-09-03,1053.7250470222743
2023-09-10,1061.9363209543124
2023-09-17,1046.8404471255647
2023-09-24,1045.8063952330522
2023-10-01,1045.8063952330522
2023-10-08,1041.9426420600603
2023-10-15,1013.4690733403131
2023-10-22,1012.4552314121406
2023-10-29,1164.3258656578153
2023-11-05,1202.303905255047
2023-11-12,1286.2073473409487
2023-11-19,1280.6668664331607
2023-11-26,1298.393425252148
2023-12-03,1383.2457198857373
2023-12-10,1499.3934195612778
2023-12-17,1413.809537630899
2023-12-24,1463.2655993651538
2023-12-31,1456.952852528387
2024-01-07,1465.6425715906696
2024-01-14,1392.911270010367
2024-01-21,1384.5933087670771
2024-01-28,1383.2156259398118
2024-02-04,1383.2156259398118
2024-02-11,1383.2156259398118
2024-02-18,1539.7885099327727
2024-02-25,1597.7048162252393
2024-03-03,1863.9652321509843
2024-03-10,2055.186519909489
2024-03-17,1987.2681057925206
2024-03-24,1920.2059110748935
2024-03-31,2031.4558241349555
2024-04-07,1953.88989307096
2024-04-14,1850.625824162993
2024-04-21,1848.8261208895456
2024-04-28,1848.8261208895456
2024-05-05,1848.8261208895456
2024-05-12,1848.8261208895456
2024-05-19,1848.8261208895456
2024-05-26,1909.228921443422
2024-06-02,1885.860930690745
2024-06-09,1893.633066212298
2024-06-16,1834.1381364455247
2024-06-23,1739.7255253948456
2024-06-30,1738.074099461432
2024-07-07,1738.074099461432
2024-07-14,1566.5202996162568
2024-07-21,1564.7484192316438
2024-07-28,1505.4078645160198
2024-08-04,1298.8423544363304
2024-08-11,1297.6591924696834
2024-08-18,1285.1106504101617
2024-08-25,1187.175929312389
2024-09-01,1185.8822147118217
2024-09-08,1241.192076050473
2024-09-15,1192.5429139202543
2024-09-22,1191.3606595456426
2024-09-29,1191.3606595456426
2024-10-06,1139.6968325694709
2024-10-13,1140.6059425678782
2024-10-20,1252.398170404373
2024-10-27,1234.0691993349046
2024-11-03,1247.7537449485299
2024-11-10,1458.0957825405465
2024-11-17,1531.4050892424796
2024-11-24,1670.558196538187
2024-12-01,1746.4996866344566
2024-12-08,1851.9410851703494
2024-12-15,1871.0738919792418
2024-12-22,1659.3607748613895
2024-12-29,1657.9448649072817
2025-01-05,1657.9448649072817
2025-01-12,1657.9448649072817
2025-01-19,1657.9448649072817
2025-01-26,1677.3482706631523
2025-02-02,1600.7136049181267
2025-02-09,1599.1932199923067
2025-02-16,1591.8879353374484
2025-02-23,1590.2960474021115
2025-03-02,1590.2960474021115
2025-03-09,1590.2960474021115
2025-03-16,1623.0607347434623
2025-03-23,1541.7633982727032
2025-03-30,1690.696239552049
2025-04-06,1827.162336362752
2025-04-13,1759.794255017586
2025-04-20,1758.1067865701568
2025-04-27,1530.708505992974
2025-05-04,1536.0326304000419
2025-05-11,1696.3585356948083
2025-05-18,1708.632389817108
2025-05-25,1747.456940251584
2025-06-01,1716.9010061721958
2025-06-08,1707.736787969649
2025-06-15,1703.7886374673167
2025-06-22,1702.086141448878
2025-06-29,1702.086141448878
2025-07-06,1713.675848909688
2025-07-13,1918.2196873650335
2025-07-20,2140.05721447129
2025-07-27,2192.8008831699867
2025-08-03,2049.5110468199714
2025-08-10,2297.9268510455036
2025-08-17,2337.570507462471
2025-08-24,2379.8461092244893
2025-08-31,2377.4662631152655
2025-09-07,2377.4662631152655
2025-09-14,2377.4662631152655
2025-09-21,2377.4662631152655
2025-09-28,2311.8485925715117
2025-10-05,2545.135086460303
2025-10-12,2365.898735338951
2025-10-19,2363.7072531567796
2025-10-26,2363.7072531567796
2025-11-02,2248.414094651223
2025-11-09,2246.1657835155765
2025-11-16,2508.84314819085
2025-11-23,2680.237867488978
2025-11-30,2583.2127845571003
2025-12-07,2561.3593701905497
2025-12-14,2584.0344100605816
2025-12-21,2598.0692268610715
2025-12-28,2595.8220691673837
2026-01-04,2455.343010498953
2026-01-11,2452.7452428869274
2026-01-18,2452.7452428869274
2026-01-25,2452.7452428869274
2026-02-01,2825.2355954814793
2026-02-08,2997.5311767190988
2026-02-15,3110.663448196421
2026-02-22,3142.7208816538036
2026-03-01,3196.0879197593367
2026-03-08,3193.659296275171
2026-03-15,2876.097322719611
2026-03-22,2873.1119889181327
2026-03-29,2873.1119889181327
