,equity
2021-01-03,1000.0
2021-01-10,1000.0
2021-01-17,1000.0
2021-01-24,1000.0
2021-01-31,1000.0
2021-02-07,1000.0
2021-02-14,1000.0
2021-02-21,1000.0
2021-02-28,1000.0
2021-03-07,1000.0
2021-03-14,1000.0
2021-03-21,1000.0
2021-03-28,1000.0
2021-04-04,1000.0
2021-04-11,1000.0
2021-04-18,1000.0
2021-04-25,1000.0
2021-05-02,1000.0
2021-05-09,1000.0
2021-05-16,1000.0
2021-05-23,1000.0
2021-05-30,1000.0
2021-06-06,1000.0
2021-06-13,1000.0
2021-06-20,1000.0
2021-06-27,1000.0
2021-07-04,1000.0
2021-07-11,1000.0
2021-07-18,1000.0
2021-07-25,1000.0
2021-08-01,1000.0
2021-08-08,1000.0
2021-08-15,1000.0
2021-08-22,1000.0
2021-08-29,1000.0
2021-09-05,1000.0
2021-09-12,1000.0
2021-09-19,1000.0
2021-09-26,1000.0
2021-10-03,1000.0
2021-10-10,1000.0
2021-10-17,1000.0
2021-10-24,1000.0
2021-10-31,1000.0
2021-11-07,1000.0
2021-11-14,1000.0
2021-11-21,1000.0
2021-11-28,1000.0
2021-12-05,1000.0
2021-12-12,1000.0
2021-12-19,1066.3133827733704
2021-12-26,984.5981569867683
2022-01-02,983.5993565716158
2022-01-09,1095.2767986585861
2022-01-16,1044.7555154006573
2022-01-23,1268.9413526436833
2022-01-30,1237.4075112303126
2022-02-06,1103.0795189169248
2022-02-13,1102.008698870161
2022-02-20,1196.668953589085
2022-02-27,1195.5680468989135
2022-03-06,1171.5068161047577
2022-03-13,1187.1309479582246
2022-03-20,1055.3773108465161
2022-03-27,1054.2059193812295
2022-04-03,1084.5769182315244
2022-04-10,994.7223285806419
2022-04-17,993.826229065965
2022-04-24,993.826229065965
2022-05-01,993.826229065965
2022-05-08,993.826229065965
2022-05-15,1106.1134693722993
2022-05-22,1141.3222405593897
2022-05-29,1198.5906854741488
2022-06-05,1193.4715609927393
2022-06-12,1374.5855346566937
2022-06-19,1642.4319564062628
2022-06-26,1601.207473817865
2022-07-03,1745.1432619776556
2022-07-10,1623.8479871002182
2022-07-17,1519.5281237270908
2022-07-24,1517.8726910604705
2022-07-31,1517.8726910604705
2022-08-07,1517.8726910604705
2022-08-14,1517.8726910604705
2022-08-21,1517.8726910604705
2022-08-28,1654.5594812943039
2022-09-04,1546.3085147190466
2022-09-11,1364.4050681102437
2022-09-18,1362.7777878651357
2022-09-25,1362.7777878651357
2022-10-02,1362.7777878651357
2022-10-09,1362.7777878651357
2022-10-16,1376.4506755575853
2022-10-23,1375.084115871588
2022-10-30,1375.084115871588
2022-11-06,1375.084115871588
2022-11-13,1375.084115871588
2022-11-20,1420.4621307302148
2022-11-27,1385.1604095598314
2022-12-04,1383.7871210912451
2022-12-11,1383.7871210912451
2022-12-18,1383.7871210912451
2022-12-25,1383.7871210912451
2023-01-01,1383.7871210912451
2023-01-08,1309.4341295916943
2023-01-15,1308.0574846880475
2023-01-22,1308.0574846880475
2023-01-29,1308.0574846880475
2023-02-05,1308.0574846880475
2023-02-12,1228.2081845734558
2023-02-19,1226.942668704902
2023-02-26,1226.942668704902
2023-03-05,1226.942668704902
2023-03-12,1226.942668704902
2023-03-19,1469.8700364559536
2023-03-26,1466.854054154213
2023-04-02,1480.7141020461972
2023-04-09,1511.2442012095157
2023-04-16,1670.3809322191291
2023-04-23,1512.8883313349022
2023-04-30,1511.5557016689786
2023-05-07,1489.43272230603
2023-05-14,1424.4954915851126
2023-05-21,1423.1346916087368
2023-05-28,1423.1346916087368
2023-06-04,1423.1346916087368
2023-06-11,1423.1346916087368
2023-06-18,1423.1346916087368
2023-06-25,1423.1346916087368
2023-07-02,1428.917062033871
2023-07-09,1389.8942450683671
2023-07-16,1388.5285473360477
2023-07-23,1388.5285473360477
2023-07-30,1388.5285473360477
2023-08-06,1388.5285473360477
2023-08-13,1388.5285473360477
2023-08-20,1388.5285473360477
2023-08-27,1400.5474594406278
2023-09-03,1413.2609224473722
2023-09-10,1424.273921146087
2023-09-17,1404.0272651207288
2023-09-24,1402.640389924395
